# kind	limit	baseline-max-lines	clear-by	path
production	900	4450	Phase 9	crates/cli/src/interactive/root.rs
production	900	3192	Phase 9	crates/cli/src/interactive/render.rs
production	900	2814	Phase 9	crates/desktop/src/ui/conversation/pane.rs
production	900	2422	Phase 9	crates/cli/src/interactive/loop.rs
production	900	2274	Phase 9	crates/desktop/src/application/reducer.rs
production	900	1779	Phase 9	crates/cli/src/rpc/commands.rs
production	900	1762	Phase 9	crates/cli/src/interactive/tree_selector.rs
production	900	1575	Phase 9	crates/desktop/src/runtime/worker/mod.rs
production	900	1422	Phase 9	crates/tui/src/component/editor/mod.rs
production	900	1384	Phase 9	crates/desktop/src/ui/sessions/pane.rs
production	900	1373	Phase 9	crates/cli/src/interactive/prompt_task.rs
production	900	1342	Phase 9	crates/desktop/src/ui/conversation/model.rs
production	900	1302	Phase 9	crates/cli/src/interactive/transcript.rs
production	900	1273	Phase 9	crates/cli/src/rpc/prompt.rs
production	900	1254	Phase 9	crates/cli/src/protocol/events.rs
production	900	1243	Phase 9	crates/tui/src/component/markdown.rs
production	900	1205	Phase 9	crates/cli/src/protocol/types.rs
production	900	1199	Phase 5	crates/agent-core/src/agent/turn/nodes.rs
production	900	1138	Phase 9	crates/desktop/src/app/native_shell.rs
production	900	1044	Phase 9	crates/desktop/src/app/devtools/native_replay.rs
production	900	1008	Phase 9	crates/desktop/src/runtime/protocol.rs
production	900	998	Phase 9	crates/tui/src/render/surface.rs
production	900	986	Phase 9	crates/desktop/src/ui/inspector/pane.rs
production	900	971	Phase 9	crates/cli/src/interactive/event_bridge.rs
production	900	960	Phase 9	crates/desktop/src/projection.rs
production	900	938	Phase 9	crates/desktop/src/ui/conversation/controller.rs
production	900	926	Phase 9	crates/desktop/src/runtime/client.rs
production	900	922	Phase 9	crates/desktop/src/ui/shell/modal.rs
production	900	901	Phase 9	crates/cli/src/interactive/commands.rs
test	1200	1510	Phase 9	crates/desktop/src/app/native_shell/tests/responsive.rs
test	1200	1448	Phase 9	crates/desktop/src/runtime/tests/admission.rs
test	1200	1315	Phase 9	crates/desktop/src/app/native_shell/tests/workspace.rs
